date,time_from,time_to,production
2015-02-06,14:15,14:30,43815
2015-02-06,14:30,14:45,43564
2015-02-06,14:45,15:00,43395
2015-02-06,15:00,15:15,42862
2015-02-06,15:15,15:30,42479
2015-02-06,15:30,15:45,42141
2015-02-06,15:45,16:00,41876
2015-02-06,16:00,16:15,40835
2015-02-06,16:15,16:30,40428
2015-02-06,16:30,16:45,40206
2015-02-06,16:45,17:00,40108
2015-02-06,17:00,17:15,39248
2015-02-06,17:15,17:30,39328
2015-02-06,17:30,17:45,39491
2015-02-06,17:45,18:00,39889
2015-02-06,18:00,18:15,39855
2015-02-06,18:15,18:30,39912
2015-02-06,18:30,18:45,39844
2015-02-06,18:45,19:00,39752
2015-02-06,19:00,19:15,39071
2015-02-06,19:15,19:30,38896
2015-02-06,19:30,19:45,38789
2015-02-06,19:45,20:00,38625
2015-02-06,20:00,20:15,39080
2015-02-06,20:15,20:30,38582
2015-02-06,20:30,20:45,38310
2015-02-06,20:45,21:00,38189
2015-02-06,21:00,21:15,35892
2015-02-06,21:15,21:30,35814
2015-02-06,21:30,21:45,35676
2015-02-06,21:45,22:00,35603
2015-02-06,22:00,22:15,34525
2015-02-06,22:15,22:30,34381
2015-02-06,22:30,22:45,34095
2015-02-06,22:45,23:00,33992
2015-02-06,23:00,23:15,33137
2015-02-06,23:15,23:30,32799
2015-02-06,23:30,23:45,32453
2015-02-06,23:45,00:00,32360
2015-02-07,00:00,00:15,31263
2015-02-07,00:15,00:30,30973
2015-02-07,00:30,00:45,30698
2015-02-07,00:45,01:00,30470
2015-02-07,01:00,01:15,28721
2015-02-07,01:15,01:30,28551
2015-02-07,01:30,01:45,28413
2015-02-07,01:45,02:00,28272
2015-02-07,02:00,02:15,27923
2015-02-07,02:15,02:30,27811
2015-02-07,02:30,02:45,27658
2015-02-07,02:45,03:00,27577
2015-02-07,03:00,03:15,27348
2015-02-07,03:15,03:30,27275
2015-02-07,03:30,03:45,27146
2015-02-07,03:45,04:00,26996
2015-02-07,04:00,04:15,27122
2015-02-07,04:15,04:30,26964
2015-02-07,04:30,04:45,26740
2015-02-07,04:45,05:00,26564
2015-02-07,05:00,05:15,26774
2015-02-07,05:15,05:30,26668
2015-02-07,05:30,05:45,26602
2015-02-07,05:45,06:00,26484
2015-02-07,06:00,06:15,26828
2015-02-07,06:15,06:30,26957
2015-02-07,06:30,06:45,27055
2015-02-07,06:45,07:00,26978
2015-02-07,07:00,07:15,27434
2015-02-07,07:15,07:30,27422
2015-02-07,07:30,07:45,27586
2015-02-07,07:45,08:00,27882
2015-02-07,08:00,08:15,28613
2015-02-07,08:15,08:30,28794
2015-02-07,08:30,08:45,29090
2015-02-07,08:45,09:00,29605
2015-02-07,09:00,09:15,30504
2015-02-07,09:15,09:30,30862
2015-02-07,09:30,09:45,31209
2015-02-07,09:45,10:00,31596
2015-02-07,10:00,10:15,32387
2015-02-07,10:15,10:30,32673
2015-02-07,10:30,10:45,32939
2015-02-07,10:45,11:00,33201
2015-02-07,11:00,11:15,33437
2015-02-07,11:15,11:30,33586
2015-02-07,11:30,11:45,33738
2015-02-07,11:45,12:00,33773
2015-02-07,12:00,12:15,33368
2015-02-07,12:15,12:30,33249
2015-02-07,12:30,12:45,33118
2015-02-07,12:45,13:00,33036
2015-02-07,13:00,13:15,32449
2015-02-07,13:15,13:30,32190
2015-02-07,13:30,13:45,31960
2015-02-07,13:45,14:00,31717
2015-02-07,14:00,14:15,30806
2015-02-07,14:15,14:30,30304
2015-02-07,14:30,14:45,30040
2015-02-07,14:45,15:00,29817
2015-02-07,15:00,15:15,28885
2015-02-07,15:15,15:30,28507
