OBJECTID,NR_STIMMBEZIRK800,WLK_NAME,WLK_ADRESSE,ROLLSTUHLGERECHT,WLK_BEMERKUNG,ABSTIMMBEZIRK,WLK_STADTTEIL,POSTZUSTELLBEZIRK,AD_NUMMER,KOORX,KOORY,STIMMBEZIRK_STADTTEIL,KOMMUNALWAHLBEZIRK,LANDTAGSWAHLKREIS,BUNDESTAGSWAHLKREIS
128,10424,Oberfinanzdirektion Rheinland,Riehler Platz 2,1,,10424,Neustadt/Nord,50668,02655000200,775428.7127,6613179.8762,Neustadt/Nord,05,18,93
129,20401,Europaschule Köln,Raderthalgürtel 3,1,,20401,Raderthal,50968,02577000300,773696.2953,6604022.0038,Raderthal,12,13,94
130,90803,GGS Ricarda-Huch-Str.,Ricarda-Huch-Str. 60,1,,90803,Stammheim,51061,02647006000,778215.0978,6618418.8139,Stammheim,37,19,101
131,50125,Nordpark-Schule,Kretzerstr. 5,0,,50125,Nippes,50733,01879000500,775138.7728,6615612.7486,Nippes,33,15,95
132,40301,"AWO Köln, Jugendeinrichtung",Ossendorfer Weg 15,1,,40301,Bickendorf,50827,02428001500,767034.2628,6615785.2503,Bickendorf,25,15,95
133,61207,Vereinshaus Worringen,St.-Tönnis-Str. 68,1,,61207,Worringen,50769,03009006800,763814.4848,6632362.8633,Worringen,29,16,95
134,50109,GGS Steinbergerstr.,Steinbergerstr. 40,0,,50109,Nippes,50733,02972004000,773743.9724,6614516.127,Nippes,32,15,95
135,61203,Grundschule An den Kaulen,An den Kaulen 62,1,,61203,Worringen,50769,00216006200,763415.2612,6633355.7417,Worringen,29,16,95
136,60903,Marie-Juchacz-Altenzentrum,Rhonestr. 5,1,,60903,Chorweiler,50765,03537000500,767568.1441,6625700.4173,Chorweiler,27,16,95
137,10210,Berufskolleg Südstadt,Zugweg 48,1,,10210,Neustadt/Süd,50677,03429004800,774370.1759,6606745.4894,Neustadt/Süd,02,13,94
138,50502,Florianschule,Neusser Str. 605,0,,50502,Weidenpesch,50737,02341060500,773326.0988,6618225.7559,Weidenpesch,34,16,95
139,30222,KGS Berrenrather Str.,Berrenrather Str. 179,0,,30222,Sülz,50937,00444017900,771217.9933,6607107.4846,Sülz,17,14,94
140,80810,KGS Forststr.,Forststr. 20,1,,80810,Rath/Heumar,51107,04553002000,788639.2006,6606586.8158,Rath/Heumar,41,17,93
141,30305,Universität zu Köln,Albertus-Magnus-Platz,1,,30305,Lindenthal,50931,00037000000,771175.6467,6608590.8286,Lindenthal,18,14,94
142,50104,Förderschule Auguststr.,Auguststr. 1,0,,50104,Nippes,50733,00356000100,773833.2707,6614230.1914,Nippes,32,15,95
143,60707,Konrad-Adenauer-Schule,Martinusstr. 28,1,,60707,Esch/Auweiler,50765,05156002800,762960.5518,6623147.401,Esch/Auweiler,28,16,95
