LSA_Nr_,Standort,X,Y
20067,Bayenthalgürtel / Goltsteinstr. / Pferdmengesstr.,6.971477,50.904632
20070,Alteburger Str. / Schönhauser Str.,6.967918,50.912751
20071,Koblenzer Str. / Schönhauser Str.,6.967175,50.912515
20074,Oberländer Ufer / Militärringstr. - L34 / Heinrich-Lübke-Ufer,6.98433,50.900704
20075,Gottesweg / Ferdinand-Schmitz-Str.,6.943541,50.910667
20076,Kalscheurer Weg / Vochemer Str. / Schule,6.937986,50.903449
20078,Rodenkirchener Str. Rd. / Lerchenweg / Adlerstr.,6.960665,50.877581
20100,Hauptstr. / Frankstr. / Kirche,6.991735,50.895696
20103,Weißer Str. / Siegfriedstr. / Schule,7.000041,50.888857
20105,Weißer Str. / Grüngürtelstr.,7.00551,50.884773
20106,Weißer Str. / Hammerschmidtstr. - K30 / Adolf-Menzel-Str.,7.014395,50.881002
20115,Sürther Str. - K28 / Moselstr.,6.999781,50.883384
20116,Sürther Str. - K28 / Grüngürtelstr.,7.000656,50.882406
20118,Sürther Str. - K28 / Eygelshovener Str. / Schule - Zentrum,7.0037,50.877238
20120,Sürther Str. - K28 / Kölnstr. / Am Feldrain,7.005139,50.87024
20121,Sürther Hauptstr. / Kölnstr. / Schule,7.012483,50.865105
20122,Industriestr. Süd / Wattigniesstr. / Am Feldrain,7.001775,50.869408
20123,Industriestr. Nord / Wattigniesstr.,7.000096,50.870159
20124,Industriestr. - B9 / Ober Buschweg / Emil-Hoffmann-Str.,6.997198,50.865481
20131,Schillingsrotter Str. / Römerstr.,6.990376,50.885415
20132,Sürther Str. / Siegfriedstr.,6.99783,50.887806
22004,Bonner Str. / Mathiaskirchplatz,6.963075,50.908818
22023,Brühler Str. / Raderthalgürtel / Raderberggürtel,6.956732,50.903765
22024,Brühler Str. / Markusstr. / Urfelder Str.,6.953782,50.90031
22039,Vorgebirgstr. / Bischofsweg,6.948633,50.916958
22310,Gustav-Heinemann-Ufer / Schönhauser Str.,6.971778,50.913988
22311,Gustav-Heinemann-Ufer / Tacitusstr.,6.974068,50.910903
22312,Gustav-Heinemann-Ufer / Bayenthalgürtel,6.977092,50.907425
22313,Gustav-Heinemann-Ufer / An der Alteburger Mühle,6.979954,50.904504
22314,Oberländer Ufer / Marienburger Str.,6.981357,50.903281
25027,Brühler Landstr. - B51 / Schulstr.,6.92707,50.861192
25028,Brühler Landstr. - B51 / Alte Köln Str.,6.926539,50.860414
25029,Brühler Landstr. - B51 / Auf dem Rosenhügel / Kindergarten,6.925244,50.859548
25030,Brühler Landstr. - B51 / Auf der Ronne / Alte Brühler Str.,6.923026,50.856541
25080,Am Eifeltor / BAB Nord / GVZ,6.925857,50.892682
25081,Am Eifeltor / BAB Süd / GVZ,6.924575,50.890238
25082,Am Eifeltor / Zufahrt 1 / GVZ,6.923966,50.888766
25083,Am Eifeltor / Zufahrt 3 / Zollstocker Weg -ehmals,6.922457,50.882674
25084,Am Eifeltor / Zufahrt 4 / Zollstocker Weg -ehmals,6.920314,50.880892
25085,Am Eifeltor / Zufahrt 5 / Zollstocker Weg -ehmals,6.917621,50.879162
25101,Hauptstr. / Maternusstr. / Barbarastr.,6.994734,50.893288
25102,Hauptstr. / Weißer Str. / Sürther Str.,6.997421,50.891096
25104,Weißer Str. / Siegstr.,7.002372,50.886796
25107,Heinrichstr. / Müller-Armack-Str. / Schule,7.027204,50.87412
25110,Ringstr. - K28 / Maternusstr. / Brückenstr.,6.990402,50.891544
