Nr;Name;MaxSchnellmeldungen;AnzSchnellmeldungen;Wahlberechtigte;abgegeben;Wahlbeteiligung;gültigeStimmzettel;gültig;ungültigeStimmzettel;ungültig;gültig2;ungültig2;CDU;CDU_Proz;Z_CDU;Z_CDU_Proz;SPD;SPD_Proz;Z_SPD;Z_SPD_Proz;FDP;FDP_Proz;Z_FDP;Z_FDP_Proz;GRÜNE;GRÜNE_Proz;Z_GRÜNE;Z_GRÜNE_Proz;DIE LINKE;DIE LINKE_Proz;Z_DIE LINKE;Z_DIE LINKE_Proz;PIRATEN;PIRATEN_Proz;Z_PIRATEN;Z_PIRATEN_Proz;NPD;NPD_Proz;Z_NPD;Z_NPD_Proz;REP;REP_Proz;Z_REP;Z_REP_Proz;Bündnis 21/RRP;Bündnis 21/RRP_Proz;Z_Bündnis 21/RRP;Z_Bündnis 21/RRP_Proz;Volksabstimmung;Volksabstimmung_Proz;Z_Volksabstimmung;Z_Volksabstimmung_Proz;ÖDP;ÖDP_Proz;Z_ÖDP;Z_ÖDP_Proz;MLPD;MLPD_Proz;Z_MLPD;Z_MLPD_Proz;BüSo;BüSo_Proz;Z_BüSo;Z_BüSo_Proz;PSG;PSG_Proz;Z_PSG;Z_PSG_Proz;AfD;AfD_Proz;Z_AfD;Z_AfD_Proz;BIG;BIG_Proz;Z_BIG;Z_BIG_Proz;pro Deutschland;pro Deutschland_Proz;Z_pro Deutschland;Z_pro Deutschland_Proz;DIE RECHTE;DIE RECHTE_Proz;Z_DIE RECHTE;Z_DIE RECHTE_Proz;FREIE WÄHLER;FREIE WÄHLER_Proz;Z_FREIE WÄHLER;Z_FREIE WÄHLER_Proz;Partei der Nichtwähler;Partei der Nichtwähler_Proz;Z_Partei der Nichtwähler;Z_Partei der Nichtwähler_Proz;Partei der Vernunft;Partei der Vernunft_Proz;Z_Partei der Vernunft;Z_Partei der Vernunft_Proz;Die PARTEI;Die PARTEI_Proz;Z_Die PARTEI;Z_Die PARTEI_Proz;
10216;10216;1;1;766;417;54,44;;413;;4;412;5;97;23,49;91;22,09;176;42,62;126;30,58;8;1,94;18;4,37;80;19,37;96;23,30;37;8,96;56;13,59;8;1,94;10;2,43;2;0,48;1;0,24;0;0,00;2;0,49;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;0,97;8;1,94;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;0,73;
10217;10217;1;1;970;478;49,28;;476;;2;476;2;134;28,15;119;25,00;174;36,55;148;31,09;12;2,52;29;6,09;101;21,22;104;21,85;37;7,77;39;8,19;8;1,68;16;3,36;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,21;0;0,00;1;0,21;0;0,00;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;9;1,89;14;2,94;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;0,84;
10218;10218;1;1;763;350;45,87;;348;;2;350;0;106;30,46;90;25,71;129;37,07;109;31,14;7;2,01;28;8,00;70;20,11;67;19,14;15;4,31;27;7,71;13;3,74;13;3,71;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;1,72;10;2,86;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,57;2;0,57;0;0,00;1;0,29;0;0,00;0;0,00;0;0,00;3;0,86;
10219;10219;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10220;10220;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10221;10221;1;1;850;423;49,76;;422;;1;422;1;89;21,09;86;20,38;154;36,49;111;26,30;6;1,42;17;4,03;113;26,78;109;25,83;38;9,00;63;14,93;13;3,08;17;4,03;2;0,47;2;0,47;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;0;0,00;0;0,00;0;0,00;6;1,42;9;2,13;0;0,00;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;0,47;0;0,00;2;0,47;0;0,00;1;0,24;0;0,00;2;0,47;
10222;10222;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10223;10223;1;1;955;472;49,42;;469;;3;468;4;119;25,37;119;25,43;177;37,74;131;27,99;4;0,85;17;3,63;88;18,76;103;22,01;50;10,66;55;11,75;17;3,62;16;3,42;2;0,43;1;0,21;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,21;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;11;2,35;18;3,85;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;0;0,00;1;0,21;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;5;1,07;
10224;10224;1;1;838;416;49,64;;415;;1;415;1;99;23,86;88;21,20;160;38,55;107;25,78;4;0,96;19;4,58;95;22,89;97;23,37;38;9,16;60;14,46;15;3,61;27;6,51;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;0;0,00;0;0,00;0;0,00;1;0,24;0;0,00;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;3;0,72;7;1,69;0;0,00;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;0;0,00;0;0,00;0;0,00;0;0,00;1;0,24;0;0,00;5;1,20;
10225;10225;1;0;0;0;;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
