Einzugsgebiet,Gewaesser,Informationsstufe 1,Informationsstufe 2,Informationsstufe 3,MHW,MNW,Mittel,Name,X,Y
Lippe,Rothebach,,,,100.0,13.0,23.0,Paderborn2,8.7442066,51.7269007
Schwalm,Schwalm,,,,78.0,18.0,25.0,Pannenmuehle,6.2298589,51.1994487
Lippe,Stever,260.0,290.0,420.0,300.0,52.0,77.0,Patzlar,7.4563515,51.7613077
Weser,Werre,,,,185.0,60.0,80.0,Pottenhausen,8.750004,52.0165999
Rur,Wurm,230.0,250.0,275.0,250.0,77.0,94.0,Randerath,6.1797791,51.0150847
Rur,Floßbach,,,,,,,Ratheim,6.186285,51.0738601
Rhein,Angerbach,,,,163.0,28.0,47.0,Ratingen,6.8124185,51.3038183
Weser,Odeborn,,,,150.0,13.0,42.0,Raumland,8.3862686,51.0314458
Sieg,Agger,100.0,165.0,200.0,126.0,9.0,26.0,Rebbelroth,7.6010152,51.0043497
Ems,Ems,390.0,435.0,500.0,386.0,188.0,226.0,Rheda,8.2961217,51.8524978
Ijssel,Bocholter Aa,172.0,240.0,250.0,191.0,11.0,32.0,Rhedebruegge,6.7522012,51.8277002
Weser,Bastau,,,,117.0,22.0,42.0,Rodenbeck,8.8782432,52.2822266
Ruhr,Lenne,190.0,390.0,440.0,292.0,42.0,75.0,Roenkhausen,7.9545846,51.2162462
Ruhr,Fuelbecke,,,,51.0,18.0,27.0,Rosmart,7.6723697,51.2450118
Rur,Rothenbach,,,,,,,Rothenbach_Grenze,6.119391,51.1402928
Lippe,Roxeler Aa,,,,,,,Roxeler,7.5627966,51.9537342
Rur,Weidenbach,,,,74.0,14.0,29.0,RurbergVA,6.3539185,50.6154871
Weser,Aa,,,,246.0,78.0,97.0,Rustenhof,9.1345613,51.7064848
Lippe,Boker Kanal,,,,,,,Sande2,8.6851676,51.7616259
Rur,Schaagbach,,,,,,,Schaufenberg,6.1522279,51.1278484
Lippe,Lippe,513.0,626.0,728.0,497.0,177.0,227.0,Schermbeck_1,6.8511256,51.6738664
Weser,Niese,,,,119.0,12.0,30.0,Schieder,9.1448928,51.9140806
Weser,Emmer,230.0,300.0,370.0,275.0,65.0,87.0,Schieder-Nessenberg,9.1300832,51.910915
Weser,Emmer,,,,306.0,71.0,94.0,Schieder-Stausee,9.1933383,51.9349692
Lippe,Schledde,,,,,,,Schledde,8.1338054,51.5709654
Rur,Olef,200.0,210.0,250.0,217.0,89.0,103.0,Schleiden,6.4686993,50.5248973
Lippe,Ellerbach,,,,75.0,10.0,20.0,Schwaney,8.9238744,51.7166165
Rur,Rur,,,,148.0,51.0,77.0,Selhausen,6.4336071,50.8597229
Lippe,Funne,,,,128.0,1.0,16.0,Selm-Ondrup,7.4916215,51.7078311
Lippe,Stever,200.0,260.0,300.0,182.0,8.0,24.0,Senden-Schoelling,7.4655722,51.8401985
Ems,Angel,,,,230.0,35.0,63.0,Sendenhorst,7.8812969,51.833513
Sieg,Sieg,480.0,480.0,520.0,414.0,33.0,90.0,Siegburg_Kald.,7.2572275,50.7976514
Lippe,Soestbach,,,,,,,Soestbach,8.1011121,51.5758988
Ijssel,Berkel,334.0,364.0,380.0,326.0,58.0,103.0,Stadtlohn,6.9055683,51.9956801
Rur,Rur,200.0,245.0,265.0,207.0,52.0,78.0,Stah,6.1041617,51.0976051
Ems,Ems,105.0,,,111.0,38.0,55.0,Steinhorst,8.5337449,51.8183169
Ruhr,Volme,110.0,210.0,250.0,158.0,6.0,26.0,Stephansohl,7.5651965,51.2229828
Lippe,Salzbach,,,,239.0,15.0,47.0,Sueddinker,7.9323534,51.6313948
Maas,Rodebach,,,,,,,Suesterseel,5.9300615,50.9965429
Weser,Exter,,,,161.0,33.0,48.0,Uchtdorf,9.0991876,52.1598674
Lippe,Heder,,,,,,,Upsprunge,8.6024408,51.6565079
Niers,Nierskanal,,,,130.0,28.0,61.0,Veert,6.3099909,51.5187132
Ems,Ölbach,,,,,,,Verl,8.4996113,51.8873644
Ems,Hessel,,,,155.0,25.0,50.0,Versmold_W,8.1607368,52.0119786
Ruhr,Ruhr,340.0,410.0,460.0,353.0,108.0,142.0,Villigst,7.5810769,51.4359951
Weser,Bega,,,,133.0,36.0,47.0,Vossheide,8.9594759,52.0161029
Weser,Passade,,,,158.0,9.0,34.0,Vossheide_1,8.9588839,52.0101687
Niers,Niers,,,,196.0,66.0,102.0,Weeze,6.2125255,51.6264332
Sieg,Sieg,90.0,130.0,185.0,145.0,8.0,34.0,Weidenau,8.0264422,50.8940197
Sieg,Ferndorf,110.0,,,179.0,24.0,49.0,Weidenau2,8.02318,50.8956652
Erft,Swistbach,160.0,205.0,235.0,168.0,20.0,36.0,Weilerswist,6.8460133,50.7660742
Lippe,Alme,130.0,210.0,260.0,161.0,38.0,59.0,Weine,8.5256869,51.5420202
Weser,Twiste,130.0,225.0,250.0,172.0,34.0,51.0,Welda,9.1154525,51.4536431
Ruhr,Wenne,,,,173.0,29.0,48.0,Wenholthausen,8.1749073,51.2942708
Weser,Diemel,,,,130.0,31.0,52.0,Westheim,8.9141079,51.492378
Lippe,Ahse,311.0,365.0,406.0,303.0,77.0,120.0,Westtuennen,7.866911,51.6663355
Ruhr,Elbsche,,,,83.0,31.0,42.0,Wetter_Wengern_1,7.3418311,51.4008766
Ijssel,Steinfurter Aa,130.0,169.0,208.0,123.0,9.0,28.0,Wettringen_B70,7.3239572,52.2150599
Ems,Angel,265.0,283.0,305.0,266.0,65.0,91.0,Wolbeck,7.7812102,51.902896
Rur,Rur,130.0,145.0,220.0,121.0,39.0,62.0,Zerkall,6.4525361,50.6927119
